##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fcatanat_USPD16092508-N711-AK392_HV3JCCCXY_L6_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	149273644
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.13976009723458	32.0	32.0	32.0	32.0	32.0
2	31.114716928863878	32.0	32.0	32.0	32.0	32.0
3	34.85613781894411	37.0	37.0	37.0	32.0	37.0
4	35.47634295040054	37.0	37.0	37.0	32.0	37.0
5	35.71707643179127	37.0	37.0	37.0	32.0	37.0
6	38.9681059035445	41.0	41.0	41.0	37.0	41.0
7	39.13789207825596	41.0	41.0	41.0	37.0	41.0
8	39.11003710072222	41.0	41.0	41.0	37.0	41.0
9	39.189262472885034	41.0	41.0	41.0	37.0	41.0
10-14	39.14082210386717	41.0	41.0	41.0	37.0	41.0
15-19	39.1017103702513	41.0	41.0	41.0	37.0	41.0
20-24	38.99217060313741	41.0	41.0	41.0	37.0	41.0
25-29	38.87130638413302	41.0	41.0	41.0	37.0	41.0
30-34	38.746932365367854	41.0	41.0	41.0	32.0	41.0
35-39	38.72097503294018	41.0	41.0	41.0	32.0	41.0
40-44	38.635118868003254	41.0	41.0	41.0	32.0	41.0
45-49	38.423528625053194	41.0	41.0	41.0	32.0	41.0
50-54	38.44176193487981	41.0	41.0	41.0	32.0	41.0
55-59	38.362981787997356	41.0	41.0	41.0	32.0	41.0
60-64	38.2492561312431	41.0	41.0	41.0	32.0	41.0
65-69	38.114876277824365	41.0	41.0	41.0	30.0	41.0
70-74	38.01073613504069	41.0	41.0	41.0	27.0	41.0
75-79	37.4161537370924	41.0	38.6	41.0	27.0	41.0
80-84	37.77226720880479	41.0	41.0	41.0	27.0	41.0
85-89	37.74335054217609	41.0	41.0	41.0	27.0	41.0
90-94	37.63980067640072	41.0	41.0	41.0	27.0	41.0
95-99	37.53459844793498	41.0	37.8	41.0	27.0	41.0
100-104	37.473000632315234	41.0	37.0	41.0	27.0	41.0
105-109	37.26732410176843	41.0	37.0	41.0	24.0	41.0
110-114	37.14089056471348	41.0	37.0	41.0	22.0	41.0
115-119	36.97615888575749	41.0	37.0	41.0	22.0	41.0
120-124	36.73147720973436	41.0	37.0	41.0	22.0	41.0
125-129	36.44561277408087	41.0	37.0	41.0	22.0	41.0
130-134	36.15218702371867	41.0	37.0	41.0	22.0	41.0
135-139	35.71123875826331	41.0	37.0	41.0	18.0	41.0
140-144	35.3715057602533	41.0	34.0	41.0	12.0	41.0
145-149	34.93809187106064	41.0	32.0	41.0	12.0	41.0
150	34.644034086821115	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.11908272576168955
1101	2	0.20017851232468686
1101	3	-0.23266526457313574
1101	4	0.2303656959583762
1101	5	0.1847370595168769
1101	6	-0.003708688010924277
1101	7	-0.08244733811135774
1101	8	-0.007985145689360706
1101	9	-0.18756564320268865
1101	10-14	-0.16887516870401242
1101	15-19	-0.0689722998883795
1101	20-24	-0.026280389093038536
1101	25-29	-0.11737511819649882
1101	30-34	-0.23115858653000743
1101	35-39	-0.14112811334728548
1101	40-44	-0.06786553930189143
1101	45-49	-0.1300355853506261
1101	50-54	-0.5201030105310807
1101	55-59	0.056236429120872344
1101	60-64	-0.10940431762715264
1101	65-69	-0.7348840621644683
1101	70-74	-0.08822584698605596
1101	75-79	-0.03681688725285426
1101	80-84	-0.8031800779047487
1101	85-89	-1.0317126945908655
1101	90-94	-0.22827980999729647
1101	95-99	-0.23160886129959124
1101	100-104	-0.48156989812994055
1101	105-109	-0.6514177835871209
1101	110-114	-0.21487393185599757
1101	115-119	-0.9145141778975372
1101	120-124	-0.8825019737024391
1101	125-129	-0.8212785505577642
1101	130-134	-0.7037208344474806
1101	135-139	-0.7324735536014302
1101	140-144	-1.3401186305442963
1101	145-149	-0.9916226774533499
1101	150	-1.1032262610713701
1102	1	0.3017831334340002
1102	2	0.34949552983391996
1102	3	0.4166140872979369
1102	4	0.3771707919764751
1102	5	0.4103776107003654
1102	6	0.6717237329117154
1102	7	0.2927132872499314
1102	8	0.5332147584676505
1102	9	0.5547345883126908
1102	10-14	0.5094563333370061
1102	15-19	0.5130272007735144
1102	20-24	0.573421088287418
1102	25-29	0.6343250698503979
1102	30-34	0.6727583153328283
1102	35-39	0.5337586283010438
1102	40-44	0.7116877255134924
1102	45-49	0.8266233630985198
1102	50-54	0.6638573605899794
1102	55-59	0.6140916250922714
1102	60-64	0.6894629232370306
1102	65-69	0.47721660671771815
1102	70-74	0.6778417103273782
1102	75-79	0.8895473383793231
1102	80-84	0.5784242656535881
1102	85-89	0.615361118015997
1102	90-94	0.49730898185116956
1102	95-99	0.7712555510450372
1102	100-104	0.5831232859607738
1102	105-109	0.2998848738209574
1102	110-114	0.7323257756277783
1102	115-119	0.434895244145693
1102	120-124	0.4148305039894993
1102	125-129	0.7713762797862742
1102	130-134	0.47331542746566413
1102	135-139	0.5764188029637438
1102	140-144	0.490061841714045
1102	145-149	0.4440885570047257
1102	150	0.9261331119438267
1103	1	0.1797497195218476
1103	2	0.3348190153840598
1103	3	0.6237574100943561
1103	4	0.4029906262597649
1103	5	0.28521411177045763
1103	6	0.372635424641679
1103	7	0.5410720875177404
1103	8	0.6694987906016365
1103	9	0.5402803838329859
1103	10-14	0.48285063263415395
1103	15-19	0.5567524336932053
1103	20-24	0.6611711265925564
1103	25-29	0.6487371550021379
1103	30-34	0.7072294880269894
1103	35-39	0.6081647910445298
1103	40-44	0.7249625896042033
1103	45-49	0.8097030109231582
1103	50-54	0.6708596566655203
1103	55-59	0.8056198118787847
1103	60-64	0.6959513496494125
1103	65-69	0.7803427358873805
1103	70-74	0.7970843757148742
1103	75-79	0.760433450286726
1103	80-84	0.7490303042813977
1103	85-89	0.5934270119043603
1103	90-94	0.6872754235352545
1103	95-99	0.8090686040205028
1103	100-104	0.8948780786015575
1103	105-109	1.0544005132597434
1103	110-114	1.131961937235971
1103	115-119	1.1906393136137723
1103	120-124	1.1147977044986987
1103	125-129	1.165339607081819
1103	130-134	1.0311943455284478
1103	135-139	1.4650221718215093
1103	140-144	1.479504794711147
1103	145-149	1.3705102714236688
1103	150	1.3313640211618605
1104	1	0.23190259769014432
1104	2	0.25611726597974993
1104	3	0.3502589525459854
1104	4	0.2280164553978068
1104	5	0.26160665098290536
1104	6	0.4323570295461394
1104	7	0.4225921194681135
1104	8	0.5056785811670679
1104	9	0.2823710357880387
1104	10-14	0.3854510303087295
1104	15-19	0.4233901894193366
1104	20-24	0.5161984133568822
1104	25-29	0.45479164595024457
1104	30-34	0.6025460935631628
1104	35-39	0.5830660895607878
1104	40-44	0.6366197835327156
1104	45-49	0.8008328058017824
1104	50-54	0.6357916399300123
1104	55-59	0.7066936356672571
1104	60-64	0.7090567424178573
1104	65-69	0.6581820354909382
1104	70-74	0.828180327696451
