##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fnotti_USPD16092508-N705-AK390_HV3JCCCXY_L7_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	104172552
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.934084325782862	32.0	32.0	32.0	32.0	32.0
2	31.55003463868294	32.0	32.0	32.0	32.0	32.0
3	35.20453251447656	37.0	32.0	37.0	32.0	37.0
4	36.07438218466607	37.0	37.0	37.0	32.0	37.0
5	36.236899428171824	37.0	37.0	37.0	37.0	37.0
6	39.75379489599141	41.0	41.0	41.0	37.0	41.0
7	40.00265766744391	41.0	41.0	41.0	37.0	41.0
8	40.01318343434651	41.0	41.0	41.0	37.0	41.0
9	40.07548972209109	41.0	41.0	41.0	37.0	41.0
10-14	40.052413307490056	41.0	41.0	41.0	37.0	41.0
15-19	40.02790423911281	41.0	41.0	41.0	37.0	41.0
20-24	39.972518895380425	41.0	41.0	41.0	37.0	41.0
25-29	39.85389341714505	41.0	41.0	41.0	37.0	41.0
30-34	39.76030360665447	41.0	41.0	41.0	37.0	41.0
35-39	39.678224630610956	41.0	41.0	41.0	37.0	41.0
40-44	39.61228122548059	41.0	41.0	41.0	37.0	41.0
45-49	39.52744954352275	41.0	41.0	41.0	37.0	41.0
50-54	39.47300761336825	41.0	41.0	41.0	37.0	41.0
55-59	39.39582558753097	41.0	41.0	41.0	37.0	41.0
60-64	39.36055755070683	41.0	41.0	41.0	37.0	41.0
65-69	39.28115069697054	41.0	41.0	41.0	37.0	41.0
70-74	39.204367453722355	41.0	41.0	41.0	37.0	41.0
75-79	38.771711794100995	41.0	40.2	41.0	34.0	41.0
80-84	39.08304339323472	41.0	41.0	41.0	37.0	41.0
85-89	39.00149442244633	41.0	41.0	41.0	37.0	41.0
90-94	38.9219199314614	41.0	41.0	41.0	32.0	41.0
95-99	38.83057836194702	41.0	41.0	41.0	32.0	41.0
100-104	38.734969622324314	41.0	41.0	41.0	32.0	41.0
105-109	38.668033205138336	41.0	41.0	41.0	32.0	41.0
110-114	38.58790659750757	41.0	41.0	41.0	32.0	41.0
115-119	38.45615154172282	41.0	41.0	41.0	32.0	41.0
120-124	38.2899081650606	41.0	41.0	41.0	32.0	41.0
125-129	38.17017758574255	41.0	40.2	41.0	32.0	41.0
130-134	37.977126775198904	41.0	37.0	41.0	31.0	41.0
135-139	37.765318455479516	41.0	37.0	41.0	27.0	41.0
140-144	37.40899411007997	41.0	37.0	41.0	27.0	41.0
145-149	37.1006219219819	41.0	37.0	41.0	27.0	41.0
150	36.91862953496618	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.23562059721726314
1101	2	-0.20374621984393215
1101	3	0.12437522531930512
1101	4	-0.43429790950288094
1101	5	-0.24654486304206813
1101	6	-0.326917064066059
1101	7	-0.37847691374645365
1101	8	-0.15086970391512722
1101	9	-0.16601267088092442
1101	10-14	-0.32826045032338413
1101	15-19	-0.30096751344148487
1101	20-24	-0.3368087703426852
1101	25-29	-0.47679446254225866
1101	30-34	-0.18801592932273792
1101	35-39	-0.2996406758723893
1101	40-44	-0.3221559012417572
1101	45-49	-0.47516073219973265
1101	50-54	-0.12438065488583305
1101	55-59	-0.2580391346939521
1101	60-64	-0.6136472249252378
1101	65-69	-0.614533231940996
1101	70-74	-0.6066031651961765
1101	75-79	-0.7990883223245788
1101	80-84	-0.42873351544852056
1101	85-89	-0.48773916965459563
1101	90-94	-1.029152551264481
1101	95-99	-0.8026779976576819
1101	100-104	-0.9157222037954682
1101	105-109	-1.2257700491602037
1101	110-114	-1.3989708994170016
1101	115-119	-1.5003835342378196
1101	120-124	-1.848704189994784
1101	125-129	-1.6361439246046885
1101	130-134	-1.185965304461341
1101	135-139	-1.3131405175297246
1101	140-144	-1.3658998932669917
1101	145-149	-1.784557825404434
1101	150	-2.0148780725936675
1102	1	0.49235167722593687
1102	2	-0.1058627460815238
1102	3	0.4819736092879907
1102	4	0.09073403975585137
1102	5	0.16331235494461538
1102	6	0.026203905370756786
1102	7	0.14936591200703475
1102	8	0.13200172412489053
1102	9	0.029548215097328523
1102	10-14	0.06951070146907767
1102	15-19	0.07076825869273762
1102	20-24	0.10805093449467051
1102	25-29	0.010248830900451367
1102	30-34	0.03899274075290293
1102	35-39	0.09927877481978697
1102	40-44	0.09585316795693899
1102	45-49	0.1719588615021479
1102	50-54	0.09001651227109875
1102	55-59	0.24408210653069773
1102	60-64	0.08295962053933437
1102	65-69	0.13296047614417006
1102	70-74	0.09672074697065369
1102	75-79	0.20204825125863835
1102	80-84	0.12359145544785122
1102	85-89	0.33636292767945974
1102	90-94	0.057478993370658316
1102	95-99	0.009384732785548522
1102	100-104	0.0034580538522277493
1102	105-109	-0.30613693172153944
1102	110-114	-0.029542270560568795
1102	115-119	-0.1630670539254595
1102	120-124	0.36693188855040404
1102	125-129	0.2311921394125278
1102	130-134	0.2778162070682484
1102	135-139	0.07008671017528911
1102	140-144	-0.18021505512458447
1102	145-149	0.12114970767716216
1102	150	-0.1779794709626472
1103	1	0.36330848667408233
1103	2	0.005808654618491005
1103	3	0.5140858121131586
1103	4	0.15006818408027556
1103	5	0.15446455217826127
1103	6	0.28599340081257907
1103	7	0.22790439601280355
1103	8	0.2269648293995843
1103	9	0.0742581896508483
1103	10-14	0.1887244297172046
1103	15-19	0.15614450215674935
1103	20-24	0.1812428459576978
1103	25-29	0.28060826641515035
1103	30-34	0.20005135218638515
1103	35-39	0.3205844979789845
1103	40-44	0.28535633705848085
1103	45-49	0.27051683501783685
1103	50-54	0.3580475349281187
1103	55-59	0.3181839950702283
1103	60-64	0.45389809913311296
1103	65-69	0.46201752459098344
1103	70-74	0.2724225776514828
1103	75-79	0.3342515023019885
1103	80-84	0.3777147614669829
1103	85-89	0.40445366350946443
1103	90-94	0.33996565857373895
1103	95-99	0.18934736850481215
1103	100-104	0.32417516271428326
1103	105-109	0.3391911790969999
1103	110-114	0.6010321917839434
1103	115-119	0.5972474561261123
1103	120-124	0.42092050649186064
1103	125-129	0.3529982065480368
1103	130-134	0.45611350458519695
1103	135-139	0.49832621217621664
1103	140-144	0.2854277263915108
1103	145-149	0.32894339898585656
1103	150	0.3230561164587513
1104	1	0.35227994249756023
1104	2	0.012644658138167841
1104	3	0.5842354123028173
1104	4	-0.04022446409172176
1104	5	0.14669399644447623
1104	6	0.23318398386561512
1104	7	-0.038246983180343364
1104	8	0.11759599839911772
1104	9	-0.15100926101570167
1104	10-14	0.06988213404698485
1104	15-19	0.20402767390552157
1104	20-24	0.17315737984934287
1104	25-29	0.06070003507620214
1104	30-34	0.18392927691116512
1104	35-39	0.22366083367716527
1104	40-44	0.046002590718373426
1104	45-49	-0.09087535211443765
1104	50-54	0.11970668240610394
1104	55-59	0.2460019084490952
1104	60-64	0.3448610965447685
1104	65-69	0.23354919060077606
1104	70-74	0.3186326166097686
1104	75-79	0.23314933107065627
1104	80-84	0.14456917364903887
1104	85-89	0.1631133880700517
1104	90-94	0.19774042248669588
1104	95-99	0.2232567824001208
1104	100-104	0.461405332309198
1104	105-109	0.4335508346190977
1104	110-114	0.47606008897696483
1104	115-119	0.4507550318610001
1104	120-124	0.27658759320741666
1104	125-129	0.447065121302316
1104	130-134	0.4019014109047774
1104	135-139	0.2306519855248581
1104	140-144	-0.36070719937814033
1104	145-149	-0.21741527182244624
1104	150	0.04338640917629277
1105	1	0.39346361687407594
1105	2	0.004596621809135115
1105	3	0.48996864694645836
1105	4	0.04440956934434581
1105	5	0.09610187525078828
1105	6	0.19582748560141283
1105	7	-0.0665455607055776
1105	8	0.13389309068791277
1105	9	0.07145124694296356
1105	10-14	0.04388780426491934
1105	15-19	0.09500701883031581
1105	20-24	-0.0699795397601477
1105	25-29	0.08610389183141365
1105	30-34	0.08228378458330354
1105	35-39	0.1826272532607902
1105	40-44	0.05465658367968729
1105	45-49	0.08563579192159665
