##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	F_olivaceus_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	601866139
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.31275331805965	37.0	23.0	37.0	23.0	37.0
2	34.34045453751636	37.0	37.0	37.0	23.0	37.0
3	34.209678968166706	37.0	37.0	37.0	23.0	37.0
4	35.82622128373299	37.0	37.0	37.0	37.0	37.0
5	36.29502992358904	37.0	37.0	37.0	37.0	37.0
6	36.550447838036625	37.0	37.0	37.0	37.0	37.0
7	36.55214827760895	37.0	37.0	37.0	37.0	37.0
8	36.59742010008641	37.0	37.0	37.0	37.0	37.0
9	36.61370621981444	37.0	37.0	37.0	37.0	37.0
10-14	36.72793364804994	37.0	37.0	37.0	37.0	37.0
15-19	36.74119721362162	37.0	37.0	37.0	37.0	37.0
20-24	36.72695851527211	37.0	37.0	37.0	37.0	37.0
25-29	36.677941176218916	37.0	37.0	37.0	37.0	37.0
30-34	36.64766255441395	37.0	37.0	37.0	37.0	37.0
35-39	36.61775576379451	37.0	37.0	37.0	37.0	37.0
40-44	36.58793698477196	37.0	37.0	37.0	37.0	37.0
45-49	36.54372770420965	37.0	37.0	37.0	37.0	37.0
50-54	36.51185294808552	37.0	37.0	37.0	37.0	37.0
55-59	36.47282526588524	37.0	37.0	37.0	37.0	37.0
60-64	36.38533195933788	37.0	37.0	37.0	37.0	37.0
65-69	36.30606377342654	37.0	37.0	37.0	37.0	37.0
70-74	36.15854975752341	37.0	37.0	37.0	37.0	37.0
75-79	36.034311869470365	37.0	37.0	37.0	37.0	37.0
80-84	35.88557866951209	37.0	37.0	37.0	37.0	37.0
85-89	35.78630619989074	37.0	37.0	37.0	37.0	37.0
90-94	35.71425235470839	37.0	37.0	37.0	37.0	37.0
95-99	35.66142512861984	37.0	37.0	37.0	37.0	37.0
100-104	35.57063787035874	37.0	37.0	37.0	37.0	37.0
105-109	35.53227519317215	37.0	37.0	37.0	37.0	37.0
110-114	35.44918542925373	37.0	37.0	37.0	37.0	37.0
115-119	35.378195827029245	37.0	37.0	37.0	37.0	37.0
120-124	35.314185210210006	37.0	37.0	37.0	37.0	37.0
125-129	35.12519246609419	37.0	37.0	37.0	37.0	37.0
130-134	34.9818828186312	37.0	37.0	37.0	37.0	37.0
135-139	34.76267304381448	37.0	37.0	37.0	31.4	37.0
140-144	34.533067731527595	37.0	37.0	37.0	23.0	37.0
145-149	34.33336050559907	37.0	37.0	37.0	23.0	37.0
150	34.209666447110095	37.0	37.0	37.0	23.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	1.028999390225561
1101	2	1.859784237414317
1101	3	2.028534846454221
1101	4	0.5632614664816629
1101	5	0.2933269849078428
1101	6	0.18303989536164522
1101	7	0.16688828166692105
1101	8	0.19809776887458241
1101	9	0.17726027138836287
1101	10-14	0.06533338485581197
1101	15-19	0.04611622215174549
1101	20-24	0.0400224797934996
1101	25-29	0.04616048936679107
1101	30-34	0.05201269134006736
1101	35-39	0.04580736283209319
1101	40-44	0.05208455194974704
1101	45-49	0.05464859228937513
1101	50-54	0.05241097062789635
1101	55-59	0.059497314929835454
1101	60-64	0.07646135112554475
1101	65-69	0.1283773419019596
1101	70-74	0.046972687298875826
1101	75-79	-0.10252477432792517
1101	80-84	-0.02027967503292416
1101	85-89	-0.012628591484912022
1101	90-94	-0.005012552959392735
1101	95-99	-0.012495303540688951
1101	100-104	0.0027718639875899953
1101	105-109	0.009898489728932702
1101	110-114	0.01324824934888369
1101	115-119	-0.055451403735311544
1101	120-124	-0.05098082934624415
1101	125-129	0.02381920445812824
1101	130-134	-0.025578414286975715
1101	135-139	-0.08289796085816903
1101	140-144	-0.3458317067230894
1101	145-149	-0.25467894791184875
1101	150	-0.4168016231614615
1102	1	4.681185317979146
1102	2	-5.2908222492818915
1102	3	1.985832751518366
1102	4	0.4973730707121149
1102	5	0.3005843135941504
1102	6	0.042441057432462514
1102	7	0.06978020921892636
1102	8	0.1853214535262424
1102	9	0.16193168522213597
1102	10-14	0.05357188944832103
1102	15-19	0.03471382266032208
1102	20-24	0.0338876000607371
1102	25-29	0.040348338553087615
1102	30-34	0.03267818491337948
1102	35-39	0.04203344364664474
1102	40-44	0.02962602703773598
1102	45-49	0.03535503387509209
1102	50-54	0.031338642228185165
1102	55-59	0.04573227366828547
1102	60-64	0.057244390154501446
1102	65-69	0.029187515999446134
1102	70-74	-0.07896630756854961
1102	75-79	-0.14618557948602273
1102	80-84	-0.06051412075937179
1102	85-89	-0.03126895713053557
1102	90-94	-0.01027082067595586
1102	95-99	-0.02210845843152498
1102	100-104	-0.031165068399658935
1102	105-109	-0.013412366632067574
1102	110-114	0.00758410145122923
1102	115-119	-0.0621732999373279
1102	120-124	0.01621436417679689
1102	125-129	0.02366679195618815
1102	130-134	-0.03352709541774601
1102	135-139	-0.18954316065548227
1102	140-144	-0.06073944553359212
1102	145-149	-0.1892027674121195
1102	150	-0.424507164379726
1103	1	4.7942867810879655
1103	2	1.8957536396314083
1103	3	2.1442759056763947
1103	4	0.5937252662801953
1103	5	0.277139129837046
1103	6	0.0668979347626717
1103	7	0.06424207816132821
1103	8	0.06328769244150578
1103	9	0.05546914161406846
1103	10-14	0.04812071898410153
1103	15-19	0.012016684671152689
1103	20-24	0.020317313306662754
1103	25-29	0.028090428022423453
1103	30-34	0.054578174060615936
1103	35-39	0.05628648473289388
