##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	F_olivaceus_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	601866139
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.12174026955851	37.0	23.0	37.0	23.0	37.0
2	31.71490679424981	37.0	23.0	37.0	23.0	37.0
3	35.61697295451273	37.0	37.0	37.0	37.0	37.0
4	36.4573180532424	37.0	37.0	37.0	37.0	37.0
5	35.30435166747269	37.0	37.0	37.0	37.0	37.0
6	35.173433501631166	37.0	37.0	37.0	37.0	37.0
7	35.15855156955424	37.0	37.0	37.0	37.0	37.0
8	35.33629237447432	37.0	37.0	37.0	37.0	37.0
9	35.475979453630636	37.0	37.0	37.0	37.0	37.0
10-14	35.407867013100066	37.0	37.0	37.0	37.0	37.0
15-19	35.45262482128107	37.0	37.0	37.0	37.0	37.0
20-24	35.456555262697705	37.0	37.0	37.0	37.0	37.0
25-29	35.36322109657676	37.0	37.0	37.0	37.0	37.0
30-34	35.14155762432749	37.0	37.0	37.0	37.0	37.0
35-39	35.05572129386731	37.0	37.0	37.0	37.0	37.0
40-44	34.94524802599004	37.0	37.0	37.0	37.0	37.0
45-49	34.91003164608999	37.0	37.0	37.0	34.2	37.0
50-54	34.774360341278474	37.0	37.0	37.0	23.0	37.0
55-59	34.697682777266195	37.0	37.0	37.0	23.0	37.0
60-64	34.52081259650329	37.0	37.0	37.0	23.0	37.0
65-69	34.417080276051216	37.0	37.0	37.0	23.0	37.0
70-74	34.24105385400324	37.0	37.0	37.0	23.0	37.0
75-79	34.15414315541018	37.0	37.0	37.0	23.0	37.0
80-84	34.02781534283988	37.0	37.0	37.0	23.0	37.0
85-89	33.88549778607832	37.0	37.0	37.0	23.0	37.0
90-94	33.71553803328351	37.0	37.0	37.0	23.0	37.0
95-99	33.61062856968599	37.0	37.0	37.0	20.8	37.0
100-104	33.434016232636075	37.0	37.0	37.0	12.0	37.0
105-109	33.30655869477316	37.0	37.0	37.0	12.0	37.0
110-114	33.22877788876573	37.0	37.0	37.0	12.0	37.0
115-119	33.10552342237681	37.0	37.0	37.0	12.0	37.0
120-124	33.03948330876278	37.0	37.0	37.0	12.0	37.0
125-129	32.78221470837721	37.0	37.0	37.0	12.0	37.0
130-134	32.65285183222444	37.0	37.0	37.0	12.0	37.0
135-139	32.458765272388916	37.0	37.0	37.0	12.0	37.0
140-144	32.37097029178444	37.0	37.0	37.0	12.0	37.0
145-149	30.861434372868082	37.0	23.0	37.0	12.0	37.0
150	31.076856545006596	37.0	23.0	37.0	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	2.673385866740098
1101	2	3.5217854628574834
1101	3	0.23229944594717722
1101	4	0.2064017632382047
1101	5	0.483443531563303
1101	6	0.513725875661315
1101	7	0.6402494413010658
1101	8	0.420537835866881
1101	9	0.32663392245174805
1101	10-14	0.3375662444546492
1101	15-19	0.3260044056238769
1101	20-24	0.2911962371109311
1101	25-29	0.3368797047440779
1101	30-34	0.4671039280267024
1101	35-39	0.5361577518196938
1101	40-44	0.5939391008167476
1101	45-49	0.5472077689605186
1101	50-54	0.6908745093410573
1101	55-59	0.6212297732187295
1101	60-64	0.5291314657944497
1101	65-69	0.2532230749858968
1101	70-74	0.5392781233587911
1101	75-79	0.190486217194902
1101	80-84	0.3027187463563905
1101	85-89	0.2781430700456369
1101	90-94	0.2411336796960768
1101	95-99	0.3085834147835058
1101	100-104	0.2938959721163883
1101	105-109	0.35427968281869227
1101	110-114	0.3927818391496629
1101	115-119	0.46263917359304685
1101	120-124	0.5265167914171798
1101	125-129	0.4331704615911818
1101	130-134	0.22221479619363294
1101	135-139	0.5627365805287496
1101	140-144	0.565295224368441
1101	145-149	1.7069729979872967
1101	150	1.8629971201688527
1102	1	2.7386255152039
1102	2	3.4932124506987385
1102	3	0.2267856467932603
1102	4	0.17516682964044605
1102	5	0.46322819317028774
1102	6	0.4650708859371946
1102	7	0.32490390082636367
1102	8	0.424521662452797
1102	9	0.3231742460809741
1102	10-14	0.346139916072552
1102	15-19	0.2929782526842075
1102	20-24	0.2841656182617385
1102	25-29	0.3114827083427443
1102	30-34	0.38538022602033095
1102	35-39	0.382314284110322
1102	40-44	0.4714787562480609
1102	45-49	0.5169395939997656
1102	50-54	0.31966414354098305
1102	55-59	0.49066026503045634
1102	60-64	0.5149443702604728
1102	65-69	0.4068920277726491
1102	70-74	0.30059069765652424
1102	75-79	0.17379613273102734
1102	80-84	0.2649549764127457
1102	85-89	0.2354924583993494
1102	90-94	0.2612063209453126
1102	95-99	0.3006557664176128
1102	100-104	0.2893292066506774
1102	105-109	0.3399493166693617
1102	110-114	0.38899357585660255
1102	115-119	0.4665554053215004
1102	120-124	0.471579757857981
1102	125-129	0.40801982396337166
1102	130-134	0.307538017386662
1102	135-139	0.5644831481090336
1102	140-144	0.5678710607372537
1102	145-149	1.7286341906382852
1102	150	1.8224778356496607
1103	1	2.762149514854798
1103	2	3.545072278051567
1103	3	0.264226357796133
1103	4	0.19814928810227173
1103	5	0.4994861921937286
1103	6	0.47238074290892484
1103	7	-0.16863101848122852
1103	8	0.3435605914273765
1103	9	0.2496357216500158
1103	10-14	0.05828015489393579
1103	15-19	-0.014368151081932012
1103	20-24	-0.0600018605450785
1103	25-29	0.12249898940935111
1103	30-34	0.23094310412683683
1103	35-39	-0.1240494147365041
1103	40-44	0.17089632966894897
1103	45-49	0.13221906492094604
