##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Axenica_USPD16092508-N706-AK391_HV3JCCCXY_L7_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	173258206
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.004461970476598	32.0	32.0	32.0	32.0	32.0
2	31.57841944871575	32.0	32.0	32.0	32.0	32.0
3	35.595223507047045	37.0	37.0	37.0	32.0	37.0
4	36.19291358124763	37.0	37.0	37.0	37.0	37.0
5	36.39240783781404	37.0	37.0	37.0	37.0	37.0
6	39.95495425480742	41.0	41.0	41.0	37.0	41.0
7	40.07486575267898	41.0	41.0	41.0	37.0	41.0
8	40.130152022929295	41.0	41.0	41.0	37.0	41.0
9	40.18463910448201	41.0	41.0	41.0	37.0	41.0
10-14	40.16912247261755	41.0	41.0	41.0	37.0	41.0
15-19	40.13974153582082	41.0	41.0	41.0	37.0	41.0
20-24	40.09831243317849	41.0	41.0	41.0	37.0	41.0
25-29	39.99004819662048	41.0	41.0	41.0	37.0	41.0
30-34	39.90009464602214	41.0	41.0	41.0	37.0	41.0
35-39	39.82586180304787	41.0	41.0	41.0	37.0	41.0
40-44	39.763043211933066	41.0	41.0	41.0	37.0	41.0
45-49	39.683660009731376	41.0	41.0	41.0	37.0	41.0
50-54	39.62693995804158	41.0	41.0	41.0	37.0	41.0
55-59	39.5544210171494	41.0	41.0	41.0	37.0	41.0
60-64	39.51771256594911	41.0	41.0	41.0	37.0	41.0
65-69	39.44292726429362	41.0	41.0	41.0	37.0	41.0
70-74	39.36493674187068	41.0	41.0	41.0	37.0	41.0
75-79	38.94343651578615	41.0	40.2	41.0	35.0	41.0
80-84	39.21187589233147	41.0	41.0	41.0	37.0	41.0
85-89	39.13012766044686	41.0	41.0	41.0	37.0	41.0
90-94	39.052347349135076	41.0	41.0	41.0	37.0	41.0
95-99	38.96721363027388	41.0	41.0	41.0	35.0	41.0
100-104	38.86774356419228	41.0	41.0	41.0	32.0	41.0
105-109	38.78684574051286	41.0	41.0	41.0	32.0	41.0
110-114	38.681191655649485	41.0	41.0	41.0	32.0	41.0
115-119	38.52866971853558	41.0	41.0	41.0	32.0	41.0
120-124	38.32360481788667	41.0	41.0	41.0	32.0	41.0
125-129	38.15544961374009	41.0	41.0	41.0	32.0	41.0
130-134	37.90391027481839	41.0	39.4	41.0	29.0	41.0
135-139	37.62403540643841	41.0	37.0	41.0	27.0	41.0
140-144	37.20579421559981	41.0	37.0	41.0	25.0	41.0
145-149	36.81632385135051	41.0	37.0	41.0	22.0	41.0
150	36.587029661382964	41.0	37.0	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.2176151677275442
1101	2	-0.12113684145536396
1101	3	-0.06928919129216382
1101	4	-0.37032594474332114
1101	5	-0.2582814712896635
1101	6	-0.35899554124387123
1101	7	-0.3732559442740637
1101	8	-0.1618819421770823
1101	9	-0.2352932176440632
1101	10-14	-0.35226851366501677
1101	15-19	-0.3472154208658509
1101	20-24	-0.34601807649742966
1101	25-29	-0.5137123806049431
1101	30-34	-0.19777672059397844
1101	35-39	-0.30678919735954224
1101	40-44	-0.3508237600762598
1101	45-49	-0.4970488847411687
1101	50-54	-0.12327213642730328
1101	55-59	-0.284766562154374
1101	60-64	-0.6510143366921639
1101	65-69	-0.6250170641968253
1101	70-74	-0.609129917089362
1101	75-79	-0.9210383369773112
1101	80-84	-0.5320673026582199
1101	85-89	-0.5972926584466194
1101	90-94	-1.194870716594309
1101	95-99	-0.9110787232985871
1101	100-104	-1.1210124138832356
1101	105-109	-1.4270097501567705
1101	110-114	-1.590419860291199
1101	115-119	-1.664629353222331
1101	120-124	-2.006811878869229
1101	125-129	-1.8647944935584135
1101	130-134	-1.488445045908243
1101	135-139	-1.6495457812538845
1101	140-144	-1.7034532844951116
1101	145-149	-2.0686855810013896
1101	150	-2.318520450127437
1102	1	0.48530571316145554
1102	2	-0.017566251542021405
1102	3	0.3130267234917241
1102	4	0.1753948932692424
1102	5	0.1417387686138909
1102	6	-0.006379841476544357
1102	7	0.17692364650418568
1102	8	0.1539883561046551
1102	9	0.043034729870647936
1102	10-14	0.08057793366303656
1102	15-19	0.06895074533731815
1102	20-24	0.09239403050001016
1102	25-29	0.0011409703905655988
1102	30-34	0.04750379412526229
1102	35-39	0.060364268356487116
1102	40-44	0.09544911727918048
1102	45-49	0.15493683379933287
1102	50-54	0.1112342760382461
1102	55-59	0.22671880200736894
1102	60-64	0.0683285936217004
1102	65-69	0.07335480374099035
1102	70-74	0.06962690568198582
1102	75-79	0.11530711905216862
1102	80-84	0.039427955283898086
1102	85-89	0.22645751500387235
1102	90-94	-0.05732253278168997
1102	95-99	-0.03194668449129523
1102	100-104	-0.07124632896726268
1102	105-109	-0.3812379205623486
1102	110-114	-0.11294667063491914
1102	115-119	-0.19055923411744402
1102	120-124	0.1999319338252903
1102	125-129	0.05228255172863783
1102	130-134	0.08273022919641448
1102	135-139	-0.09448256817334766
1102	140-144	-0.34963773548286525
1102	145-149	-0.05919835123155792
1102	150	-0.29722992150146155
1103	1	0.3502485701221367
1103	2	0.0691579288596138
1103	3	0.38021177982497534
1103	4	0.21902318933331344
1103	5	0.15434680811531365
1103	6	0.286774897919301
1103	7	0.2662616976138281
1103	8	0.2598437269653999
1103	9	0.11110908938293562
1103	10-14	0.21060631762642856
1103	15-19	0.18320580789157503
1103	20-24	0.21289301062937227
1103	25-29	0.2968340274513963
1103	30-34	0.23731141606019435
1103	35-39	0.31998626184981305
