##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Axenica_USPD16092508-N706-AK391_HV3JCCCXY_L7_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	173258206
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.688809111875486	32.0	32.0	32.0	32.0	32.0
2	31.124090809297655	32.0	32.0	32.0	32.0	32.0
3	34.78775456673031	37.0	32.0	37.0	32.0	37.0
4	35.49735290460066	37.0	37.0	37.0	32.0	37.0
5	35.713106448764684	37.0	37.0	37.0	32.0	37.0
6	39.14669953352743	41.0	41.0	41.0	37.0	41.0
7	39.255240978311875	41.0	41.0	41.0	37.0	41.0
8	39.33777256703212	41.0	41.0	41.0	37.0	41.0
9	39.29279791803916	41.0	41.0	41.0	37.0	41.0
10-14	39.24101864243013	41.0	41.0	41.0	37.0	41.0
15-19	39.13434463819855	41.0	41.0	41.0	37.0	41.0
20-24	39.07690871045958	41.0	41.0	41.0	37.0	41.0
25-29	38.978091376520425	41.0	41.0	41.0	37.0	41.0
30-34	38.9053345352081	41.0	41.0	41.0	37.0	41.0
35-39	38.792154128618876	41.0	41.0	41.0	35.0	41.0
40-44	38.73976921589503	41.0	41.0	41.0	33.0	41.0
45-49	38.645695710366525	41.0	41.0	41.0	32.0	41.0
50-54	38.609211347830765	41.0	41.0	41.0	32.0	41.0
55-59	38.49525054068723	41.0	41.0	41.0	32.0	41.0
60-64	38.39661759281982	41.0	41.0	41.0	32.0	41.0
65-69	38.311884666519056	41.0	41.0	41.0	32.0	41.0
70-74	38.19421454473562	41.0	41.0	41.0	32.0	41.0
75-79	37.70762665752178	41.0	39.4	41.0	28.0	41.0
80-84	38.0007859737391	41.0	41.0	41.0	28.0	41.0
85-89	37.93161601130742	41.0	41.0	41.0	27.0	41.0
90-94	37.86519667991945	41.0	41.0	41.0	27.0	41.0
95-99	37.70801115763602	41.0	41.0	41.0	27.0	41.0
100-104	37.67279219086454	41.0	40.2	41.0	27.0	41.0
105-109	37.53457431736307	41.0	37.0	41.0	27.0	41.0
110-114	37.33595730524879	41.0	37.0	41.0	26.0	41.0
115-119	37.147588593870125	41.0	37.0	41.0	22.0	41.0
120-124	36.95664115326232	41.0	37.0	41.0	22.0	41.0
125-129	36.62740704472029	41.0	37.0	41.0	22.0	41.0
130-134	36.26073042335438	41.0	37.0	41.0	22.0	41.0
135-139	35.88497358791768	41.0	37.0	41.0	22.0	41.0
140-144	35.520533293528395	41.0	37.0	41.0	12.0	41.0
145-149	35.097388300326735	41.0	32.0	41.0	12.0	41.0
150	34.84855697974848	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.3913742634009445
1101	2	-0.37931886003092785
1101	3	-1.42733758065566
1101	4	-1.0936049974756656
1101	5	-0.18877114378979343
1101	6	-0.7130345835174836
1101	7	-1.1727844445534146
1101	8	-1.1250822540571335
1101	9	-2.425450042500998
1101	10-14	-1.071786296886721
1101	15-19	-1.6533115082507095
1101	20-24	-2.181542068699166
1101	25-29	-1.9553349396626132
1101	30-34	-1.7653048116433396
1101	35-39	-1.4572963705593551
1101	40-44	-1.8135450701164615
1101	45-49	-1.2791955805779907
1101	50-54	-1.4314327635545752
1101	55-59	-1.2863137406747
1101	60-64	-1.2874529301434094
1101	65-69	-1.316944034623468
1101	70-74	-0.9946973838668214
1101	75-79	-0.8793210388255943
1101	80-84	-0.9158298082068157
1101	85-89	-0.4763855739373213
1101	90-94	-0.6160472527993051
1101	95-99	-1.0984799588355756
1101	100-104	-0.7207219158288041
1101	105-109	-0.8421371324246891
1101	110-114	-0.4456432712595628
1101	115-119	-1.3729671652718238
1101	120-124	-1.5114257090249552
1101	125-129	-1.1845549318610011
1101	130-134	-0.8510054792351909
1101	135-139	-1.231816882659082
1101	140-144	-0.8190019957459143
1101	145-149	-0.7402091292849775
1101	150	-0.5269080700521016
1102	1	0.6589129056829179
1102	2	0.197094217507221
1102	3	0.14347783858007546
1102	4	0.16383499312836136
1102	5	0.21372413383105027
1102	6	0.2171274984092264
1102	7	0.3944305483695416
1102	8	0.25029079643484664
1102	9	0.23272858404084218
1102	10-14	0.28522596146448365
1102	15-19	0.30806432990743104
1102	20-24	0.1192627382203355
1102	25-29	0.19132148876423827
1102	30-34	0.13884451201275994
1102	35-39	-0.1821812192295198
1102	40-44	-0.060380780244869925
1102	45-49	-0.438808417397631
1102	50-54	-0.37564538567275463
1102	55-59	-0.12988906555183632
1102	60-64	0.24029979207590912
1102	65-69	0.22790667866471637
1102	70-74	0.11752876058512385
1102	75-79	-0.011211524854537913
1102	80-84	-0.16758674340518098
1102	85-89	0.2672668957017379
1102	90-94	0.10082785812944906
1102	95-99	0.3226022226803522
1102	100-104	0.4620167857982622
1102	105-109	0.5591770036736889
1102	110-114	0.5396895913141506
1102	115-119	0.1634947914031173
1102	120-124	0.30170832894594213
1102	125-129	0.18438040730070782
1102	130-134	0.42563492192726926
1102	135-139	0.5349302920079353
1102	140-144	0.39192308422560274
1102	145-149	0.35078167806007343
1102	150	0.2913540560875276
1103	1	0.522903814446078
1103	2	0.3638519849333157
1103	3	0.5493986959689323
1103	4	0.46343052533431006
1103	5	0.36639918268885197
1103	6	0.4939527966625761
1103	7	0.43208029003461235
1103	8	0.5077378405906003
1103	9	0.4477256785191557
1103	10-14	0.286676391930051
1103	15-19	0.48651525206528135
1103	20-24	0.499244948844364
1103	25-29	0.37398323594791094
1103	30-34	0.43048194580007504
1103	35-39	0.5376843660036172
1103	40-44	0.5936621384112613
1103	45-49	0.5363526719331517
1103	50-54	0.44140866070433304
1103	55-59	0.44073545111751145
1103	60-64	0.372291164426116
1103	65-69	0.5040958799866573
1103	70-74	0.33793106796817085
1103	75-79	0.20439541680791962
1103	80-84	-0.08281285906011249
1103	85-89	0.02010468546263411
1103	90-94	0.16754642965456412
1103	95-99	0.39758582788802244
1103	100-104	0.21845781807204645
1103	105-109	0.3155322089914492
1103	110-114	0.34207734669577405
