##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fcatanat_USPD16092508-N711-AK392_HV3JCCCXY_L7_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	167203961
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.02272720082271	32.0	32.0	32.0	32.0	32.0
2	31.381396622535753	32.0	32.0	32.0	32.0	32.0
3	35.31278997032852	37.0	37.0	37.0	32.0	37.0
4	35.784838924958244	37.0	37.0	37.0	32.0	37.0
5	36.31898392646332	37.0	37.0	37.0	37.0	37.0
6	39.84061653300187	41.0	41.0	41.0	37.0	41.0
7	39.95167028369621	41.0	41.0	41.0	37.0	41.0
8	40.025087288452454	41.0	41.0	41.0	37.0	41.0
9	39.99520790658781	41.0	41.0	41.0	37.0	41.0
10-14	39.99018123021619	41.0	41.0	41.0	37.0	41.0
15-19	39.997513963200916	41.0	41.0	41.0	37.0	41.0
20-24	39.94795640636767	41.0	41.0	41.0	37.0	41.0
25-29	39.84098421926739	41.0	41.0	41.0	37.0	41.0
30-34	39.735697443196344	41.0	41.0	41.0	37.0	41.0
35-39	39.65909552106842	41.0	41.0	41.0	37.0	41.0
40-44	39.58354708833722	41.0	41.0	41.0	37.0	41.0
45-49	39.496445504661224	41.0	41.0	41.0	37.0	41.0
50-54	39.43417562458344	41.0	41.0	41.0	37.0	41.0
55-59	39.35438466676037	41.0	41.0	41.0	37.0	41.0
60-64	39.3088783070157	41.0	41.0	41.0	37.0	41.0
65-69	39.22365314180565	41.0	41.0	41.0	37.0	41.0
70-74	39.13561661377149	41.0	41.0	41.0	37.0	41.0
75-79	38.6985617631391	41.0	40.2	41.0	34.0	41.0
80-84	38.994215007860966	41.0	41.0	41.0	37.0	41.0
85-89	38.90837439072392	41.0	41.0	41.0	33.0	41.0
90-94	38.81890161800653	41.0	41.0	41.0	32.0	41.0
95-99	38.72533238611494	41.0	41.0	41.0	32.0	41.0
100-104	38.61928797129393	41.0	41.0	41.0	32.0	41.0
105-109	38.540832371788134	41.0	41.0	41.0	32.0	41.0
110-114	38.43826413059676	41.0	41.0	41.0	32.0	41.0
115-119	38.28123427650138	41.0	41.0	41.0	32.0	41.0
120-124	38.081843890049946	41.0	41.0	41.0	32.0	41.0
125-129	37.919591165666226	41.0	37.8	41.0	30.0	41.0
130-134	37.67317127852012	41.0	37.0	41.0	27.0	41.0
135-139	37.40022320284625	41.0	37.0	41.0	27.0	41.0
140-144	36.97790571719769	41.0	37.0	41.0	23.0	41.0
145-149	36.59068644552027	41.0	37.0	41.0	22.0	41.0
150	36.36110151122556	41.0	37.0	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.12332600048316067
1101	2	-0.06446580379653
1101	3	-0.013304483678588497
1101	4	-0.23077123592481996
1101	5	-0.2974714098371791
1101	6	-0.39634145440442836
1101	7	-0.3682792709700493
1101	8	-0.15398333782622586
1101	9	-0.17343830917216962
1101	10-14	-0.3362608193484533
1101	15-19	-0.3406618291714878
1101	20-24	-0.36302574040652047
1101	25-29	-0.5134196164342058
1101	30-34	-0.21218862764659718
1101	35-39	-0.34635262477997486
1101	40-44	-0.3661200110994969
1101	45-49	-0.5104835024555996
1101	50-54	-0.1398397210607456
1101	55-59	-0.3003341593856561
1101	60-64	-0.6741287240837153
1101	65-69	-0.6549131957688417
1101	70-74	-0.6436797218939034
1101	75-79	-0.8817674018357735
1101	80-84	-0.487465664707571
1101	85-89	-0.5719234173154177
1101	90-94	-1.1317784836202094
1101	95-99	-0.9055807422958821
1101	100-104	-1.0520711442753168
1101	105-109	-1.3660753171933706
1101	110-114	-1.5960410553395548
1101	115-119	-1.6381808224584518
1101	120-124	-2.003617294760339
1101	125-129	-1.8505351265136696
1101	130-134	-1.3854107326303833
1101	135-139	-1.5388985297416298
1101	140-144	-1.597496875117237
1101	145-149	-2.03002938413141
1101	150	-2.291704409239557
1102	1	0.41987716323586
1102	2	0.04788479066099782
1102	3	0.37726298230867883
1102	4	0.359060057568648
1102	5	0.11760243517212388
1102	6	-0.04778248296577914
1102	7	0.18354135538511684
1102	8	0.1306423364733078
1102	9	0.06051209930399892
1102	10-14	0.0905085394674856
1102	15-19	0.07489722191481718
1102	20-24	0.10161522900722986
1102	25-29	-0.005866389760946333
1102	30-34	0.02842230121694911
1102	35-39	0.0773747537525793
1102	40-44	0.07323917403672908
1102	45-49	0.14721049935671005
1102	50-54	0.08490032980596851
1102	55-59	0.23162411232051028
1102	60-64	0.07396312270075356
1102	65-69	0.09704400525394874
1102	70-74	0.08434806545638196
1102	75-79	0.18597300985629062
1102	80-84	0.0871637949687809
1102	85-89	0.2901616707913419
1102	90-94	0.03287001386941313
1102	95-99	-0.004668666084995721
1102	100-104	-0.03589916079800304
1102	105-109	-0.3369561469413185
1102	110-114	-0.07872964998234266
1102	115-119	-0.19408875427817662
1102	120-124	0.2904095491169514
1102	125-129	0.15037432519470428
1102	130-134	0.18011472165233755
1102	135-139	-0.023947879934851812
1102	140-144	-0.28096041158179474
1102	145-149	0.0019217114778413702
1102	150	-0.29238765694672963
1103	1	0.2748737951275402
1103	2	0.13868812711298872
1103	3	0.41735576895213455
1103	4	0.3949290679348678
1103	5	0.09744458561313252
1103	6	0.19967908922551203
1103	7	0.2296134231523368
1103	8	0.2243759963343166
1103	9	0.09468538056261622
1103	10-14	0.2002670254011818
1103	15-19	0.1598584960198437
1103	20-24	0.1773555423394484
1103	25-29	0.27376514604138436
1103	30-34	0.18728554372973605
1103	35-39	0.2845735786935464
1103	40-44	0.26448644608572636
1103	45-49	0.2621090174231995
1103	50-54	0.34517923183530286
1103	55-59	0.30161411022377393
1103	60-64	0.4250584002478277
