##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fcatanat_USPD16092508-N711-AK392_HV3JCCCXY_L7_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	167203961
Sequences flagged as poor quality	0
Sequence length	150
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.624227598292364	32.0	32.0	32.0	32.0	32.0
2	31.062705368564803	32.0	32.0	32.0	32.0	32.0
3	34.65534403219072	37.0	32.0	37.0	32.0	37.0
4	35.389418657372595	37.0	37.0	37.0	32.0	37.0
5	35.612210155715154	37.0	37.0	37.0	32.0	37.0
6	38.946025877939576	41.0	41.0	41.0	37.0	41.0
7	39.061894789681446	41.0	41.0	41.0	37.0	41.0
8	39.14959582805577	41.0	41.0	41.0	37.0	41.0
9	39.14830668993542	41.0	41.0	41.0	37.0	41.0
10-14	39.0969642662951	41.0	41.0	41.0	37.0	41.0
15-19	38.98504599182313	41.0	41.0	41.0	37.0	41.0
20-24	38.92062375962493	41.0	41.0	41.0	37.0	41.0
25-29	38.80455349260535	41.0	41.0	41.0	35.0	41.0
30-34	38.73509509741818	41.0	41.0	41.0	33.0	41.0
35-39	38.611569635004045	41.0	41.0	41.0	32.0	41.0
40-44	38.55848028026083	41.0	41.0	41.0	32.0	41.0
45-49	38.46947480508551	41.0	41.0	41.0	32.0	41.0
50-54	38.42625523327166	41.0	41.0	41.0	32.0	41.0
55-59	38.305010781413245	41.0	41.0	41.0	32.0	41.0
60-64	38.20118495159333	41.0	41.0	41.0	32.0	41.0
65-69	38.11259855500673	41.0	41.0	41.0	31.0	41.0
70-74	37.99052881528327	41.0	41.0	41.0	27.0	41.0
75-79	37.5070622172641	41.0	38.6	41.0	27.0	41.0
80-84	37.809525370035935	41.0	41.0	41.0	27.0	41.0
85-89	37.750869764383154	41.0	41.0	41.0	27.0	41.0
90-94	37.68345317130376	41.0	41.0	41.0	27.0	41.0
95-99	37.51452196757468	41.0	37.0	41.0	27.0	41.0
100-104	37.4870145558334	41.0	37.0	41.0	27.0	41.0
105-109	37.35255908919526	41.0	37.0	41.0	26.0	41.0
110-114	37.15073318508286	41.0	37.0	41.0	22.0	41.0
115-119	36.98178217201445	41.0	37.0	41.0	22.0	41.0
120-124	36.801527895622044	41.0	37.0	41.0	22.0	41.0
125-129	36.477876274713374	41.0	37.0	41.0	22.0	41.0
130-134	36.11799699769074	41.0	37.0	41.0	22.0	41.0
135-139	35.759672235276774	41.0	37.0	41.0	20.0	41.0
140-144	35.41261039025265	41.0	35.0	41.0	12.0	41.0
145-149	35.00564331487338	41.0	32.0	41.0	12.0	41.0
150	34.76543693244205	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.354439299369151
1101	2	-0.412559995265088
1101	3	-1.3724552774920653
1101	4	-1.1322570050354273
1101	5	-0.22996162775640272
1101	6	-0.7085232487797484
1101	7	-1.179196044128453
1101	8	-1.1518354023311872
1101	9	-2.4230932782831474
1101	10-14	-1.1057795250136522
1101	15-19	-1.7011347977534683
1101	20-24	-2.1765949138849336
1101	25-29	-1.9439492158880327
1101	30-34	-1.7973834619678328
1101	35-39	-1.3737421547249014
1101	40-44	-1.7520859266811328
1101	45-49	-1.2373697802766657
1101	50-54	-1.398068156884655
1101	55-59	-1.2716004227614945
1101	60-64	-1.286795062439829
1101	65-69	-1.3071161988051188
1101	70-74	-0.9453547499741362
1101	75-79	-0.8694740827571437
1101	80-84	-0.797323771030257
1101	85-89	-0.3814705356068302
1101	90-94	-0.5410699637579697
1101	95-99	-1.1151347600026469
1101	100-104	-0.6709655608079288
1101	105-109	-0.8389687511186139
1101	110-114	-0.45253438393545053
1101	115-119	-1.373145390003252
1101	120-124	-1.5027797499384334
1101	125-129	-1.1145996070636173
1101	130-134	-0.7943284601576153
1101	135-139	-1.1988726237236804
1101	140-144	-0.8285522824260454
1101	145-149	-0.743200789541433
1101	150	-0.4665368107152048
1102	1	0.6632275093920583
1102	2	0.1933805734538261
1102	3	0.19138090294817545
1102	4	0.18213269080773387
1102	5	0.21983273605813736
1102	6	0.2556253356969904
1102	7	0.4343348654842103
1102	8	0.306962504793745
1102	9	0.2897620739548259
1102	10-14	0.29048040540419606
1102	15-19	0.32170330239492273
1102	20-24	0.17190469060162883
1102	25-29	0.2110844820762594
1102	30-34	0.1712291308571139
1102	35-39	-0.1459457052619868
1102	40-44	-0.050819002823303094
1102	45-49	-0.43117499476793597
1102	50-54	-0.3607130107651315
1102	55-59	-0.1268144962229698
1102	60-64	0.2612533545954463
1102	65-69	0.25393093316833415
1102	70-74	0.16607699244860896
1102	75-79	0.02527176599389236
1102	80-84	-0.10995755322863943
1102	85-89	0.2932200299829617
1102	90-94	0.12748066365153932
1102	95-99	0.39056651614054516
1102	100-104	0.5205568222402874
1102	105-109	0.6080598570398692
1102	110-114	0.6028689625418338
1102	115-119	0.20728517337933283
1102	120-124	0.3332045946220461
1102	125-129	0.2678620464929722
1102	130-134	0.5180985369794158
1102	135-139	0.6251454162047096
1102	140-144	0.4219313215677971
1102	145-149	0.4213280266035966
1102	150	0.3637234531778901
1103	1	0.5525352117740887
1103	2	0.37848827038096644
1103	3	0.5825077163469885
1103	4	0.496796918413942
1103	5	0.39839950060378726
1103	6	0.5640229433778714
1103	7	0.49651940942642625
1103	8	0.5746434365686923
1103	9	0.46482672433310057
1103	10-14	0.30128069721239825
1103	15-19	0.5259920291253977
1103	20-24	0.5401430285933273
1103	25-29	0.4125620323021977
1103	30-34	0.4733823410181941
1103	35-39	0.5862927073426576
1103	40-44	0.6458530598081893
1103	45-49	0.5776983538926501
1103	50-54	0.4941377497823396
1103	55-59	0.47538808794291043
1103	60-64	0.4204630295531331
1103	65-69	0.5617917585736762
1103	70-74	0.4042250760244599
1103	75-79	0.248825738847664
1103	80-84	-0.047332091200559034
1103	85-89	0.058611468445754156
1103	90-94	0.21360686430488585
1103	95-99	0.4374990309466753
1103	100-104	0.24973129018675166
1103	105-109	0.3620068476580727
1103	110-114	0.40682783511419984
1103	115-119	0.6473454462091652
1103	120-124	0.8835977789132201
1103	125-129	0.9700083675622082
1103	130-134	0.9953223302550285
1103	135-139	0.6710614147109766
1103	140-144	0.7253113591567484
1103	145-149	1.0816984284966082
1103	150	1.0736252530918335
1104	1	0.6003937246452153
1104	2	0.27492498843315616
1104	3	0.2552315024367573
1104	4	0.463255067280393
1104	5	0.3180911929034451
1104	6	0.4614163045981101
1104	7	0.42008262674644925
1104	8	0.4286967877385024
1104	9	0.21503613503735153
1104	10-14	0.3080915257828636
1104	15-19	0.5245615262767345
1104	20-24	0.38145875126333806
1104	25-29	0.3125003708533214
1104	30-34	0.4359071536726091
1104	35-39	0.6067845656200319
1104	40-44	0.4511002731798186
1104	45-49	0.6356102969994808
1104	50-54	0.6482849291748138
1104	55-59	0.7782697772816078
1104	60-64	0.7007476545569773
1104	65-69	0.7034082045205636
1104	70-74	0.8032471887971653
1104	75-79	0.8227015687280144
1104	80-84	0.35620044332098644
1104	85-89	0.0689390050720391
1104	90-94	0.07215263719979959
1104	95-99	0.24760115765274548
1104	100-104	-0.09247598633848497
1104	105-109	-0.11936305668766067
1104	110-114	0.11029689277820864
1104	115-119	-0.09696073551791784
1104	120-124	0.6042883784790902
1104	125-129	0.3963627294309404
1104	130-134	0.36683790463517596
1104	135-139	-0.172883913324398
1104	140-144	0.02619744088718079
1104	145-149	0.7795717789838648
1104	150	0.5250261056865781
1105	1	0.6792398029950384
1105	2	0.33847657852149027
1105	3	0.5008810411053233
1105	4	0.3794080648617779
1105	5	0.5040614469887146
1105	6	0.6483311320615783
1105	7	0.4657856839612293
