##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fnotti_USPD16092508-N705-AK390_HV3JCCCXY_L6_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	93038565
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.54736295642565	32.0	32.0	32.0	32.0	32.0
2	31.57289178954985	32.0	32.0	32.0	32.0	32.0
3	35.39575024614793	37.0	37.0	37.0	32.0	37.0
4	36.12181980665759	37.0	37.0	37.0	32.0	37.0
5	36.28962890818447	37.0	37.0	37.0	37.0	37.0
6	39.80720159430662	41.0	41.0	41.0	37.0	41.0
7	40.03784407035943	41.0	41.0	41.0	37.0	41.0
8	40.02072748005088	41.0	41.0	41.0	37.0	41.0
9	40.07267319739938	41.0	41.0	41.0	37.0	41.0
10-14	40.03510419577086	41.0	41.0	41.0	37.0	41.0
15-19	40.028615980910715	41.0	41.0	41.0	37.0	41.0
20-24	40.030004529842	41.0	41.0	41.0	37.0	41.0
25-29	39.8828470967926	41.0	41.0	41.0	37.0	41.0
30-34	39.75927981907288	41.0	41.0	41.0	37.0	41.0
35-39	39.724152420020665	41.0	41.0	41.0	37.0	41.0
40-44	39.62183669535316	41.0	41.0	41.0	37.0	41.0
45-49	39.569447778993585	41.0	41.0	41.0	37.0	41.0
50-54	39.51454368626601	41.0	41.0	41.0	37.0	41.0
55-59	39.47992291583603	41.0	41.0	41.0	37.0	41.0
60-64	39.41201418788005	41.0	41.0	41.0	37.0	41.0
65-69	39.33098085938879	41.0	41.0	41.0	37.0	41.0
70-74	39.276241956225356	41.0	41.0	41.0	37.0	41.0
75-79	38.827105766302395	41.0	40.2	41.0	34.0	41.0
80-84	39.105235808398376	41.0	41.0	41.0	37.0	41.0
85-89	39.01322375941632	41.0	41.0	41.0	36.0	41.0
90-94	38.90537901997951	41.0	41.0	41.0	32.0	41.0
95-99	38.79594667867029	41.0	41.0	41.0	32.0	41.0
100-104	38.68981162381427	41.0	41.0	41.0	32.0	41.0
105-109	38.64910576597995	41.0	41.0	41.0	32.0	41.0
110-114	38.53844258668435	41.0	41.0	41.0	32.0	41.0
115-119	38.4525145674807	41.0	41.0	41.0	32.0	41.0
120-124	38.34589952456812	41.0	41.0	41.0	32.0	41.0
125-129	38.2058628225833	41.0	41.0	41.0	32.0	41.0
130-134	38.03028399674909	41.0	38.6	41.0	32.0	41.0
135-139	37.81661526916285	41.0	37.0	41.0	29.0	41.0
140-144	37.526086903855415	41.0	37.0	41.0	27.0	41.0
145-149	37.21773592488233	41.0	37.0	41.0	27.0	41.0
150	37.09525793954367	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.24396510798731796
1101	2	0.02823386211627721
1101	3	-0.041232785948217554
1101	4	-0.4132433255017034
1101	5	-0.41991422297981273
1101	6	-0.04216871690045565
1101	7	-0.2989922224599155
1101	8	-0.5149558052143206
1101	9	0.0026283933393429493
1101	10-14	-0.4336710531403867
1101	15-19	-0.26453006905160237
1101	20-24	-0.6567509686071489
1101	25-29	-0.49096823977220794
1101	30-34	-0.29680243271347706
1101	35-39	-0.3579120410265162
1101	40-44	-0.3179085247767759
1101	45-49	-0.5024416506953528
1101	50-54	-0.44890120774658726
1101	55-59	-0.36124528619953367
1101	60-64	-0.18360226356004006
1101	65-69	-0.5149863597550137
1101	70-74	-0.48401580772250696
1101	75-79	-0.3997178732249935
1101	80-84	-0.6723663135955391
1101	85-89	-0.34949048555044726
1101	90-94	-0.5067462161234317
1101	95-99	-0.25269129351008246
1101	100-104	-0.23865059584154125
1101	105-109	-0.4867057885708945
1101	110-114	-0.43290489249195474
1101	115-119	-0.9550723524509905
1101	120-124	-0.7960458714250152
1101	125-129	-0.35470998374113094
1101	130-134	-0.17552262902506044
1101	135-139	-0.45710177384950157
1101	140-144	-0.6206686684197678
1101	145-149	-0.4017139945916881
1101	150	-0.465140347055474
1102	1	0.06957462979963935
1102	2	0.009659207178614793
1102	3	0.13985190025118044
1102	4	0.1624793662444617
1102	5	0.09305134628566236
1102	6	0.14273247075382045
1102	7	-0.024841007207186294
1102	8	0.06640881159331258
1102	9	0.22826685498064592
1102	10-14	0.005488182169791855
1102	15-19	-0.00835469519479659
1102	20-24	0.09527313288123196
1102	25-29	0.05115696675716208
1102	30-34	0.1478201774789767
1102	35-39	0.0076373284658899365
1102	40-44	0.08621768259641982
1102	45-49	0.15300316711034867
1102	50-54	0.20021216009952525
1102	55-59	0.22707048243047012
1102	60-64	0.19719484477589333
1102	65-69	0.14594417346895483
1102	70-74	0.06822160195451232
1102	75-79	0.22966014533094636
1102	80-84	0.17516458237015797
1102	85-89	0.16632167602432446
1102	90-94	0.25221096333875437
1102	95-99	0.2522037911418664
1102	100-104	-0.04913578758816328
1102	105-109	0.2262914379272658
1102	110-114	0.10535469828836597
1102	115-119	0.23363956092293847
1102	120-124	0.2187785325516458
1102	125-129	0.26412622663422525
1102	130-134	0.31359531958903375
1102	135-139	0.21358019895770042
1102	140-144	0.20857874247852237
1102	145-149	0.38206442529000384
1102	150	0.48650573493645766
1103	1	0.07044088090347245
1103	2	0.04125943249946218
1103	3	0.23893426739183354
1103	4	0.1579278252917149
1103	5	0.15454603789868315
1103	6	0.18084716685439872
1103	7	0.19378930402303496
1103	8	0.22276532171470365
1103	9	0.28345852568982366
1103	10-14	0.28326762063759503
1103	15-19	0.21948132670519982
1103	20-24	0.19298552209242104
1103	25-29	0.24664731877510349
1103	30-34	0.3031881615633978
1103	35-39	0.2609877653393866
1103	40-44	0.3011865507728828
1103	45-49	0.38481463735109145
1103	50-54	0.3946658099517677
1103	55-59	0.34456588246860065
1103	60-64	0.3435078589725933
1103	65-69	0.36564641890000615
1103	70-74	0.30562099899296413
1103	75-79	0.3421285602857651
1103	80-84	0.4535327875128772
1103	85-89	0.4339068382255533
1103	90-94	0.4887575978045504
1103	95-99	0.6544970532213696
1103	100-104	0.5319729447719652
1103	105-109	0.4391421167466163
1103	110-114	0.5032462349803382
1103	115-119	0.4064238312729529
1103	120-124	0.34389716838230555
1103	125-129	0.6179092563999617
1103	130-134	0.7298844105535167
1103	135-139	0.7356881589805013
1103	140-144	0.5932170752759589
1103	145-149	0.5913705237791405
1103	150	0.6518527337166518
1104	1	-0.00592472316738224
1104	2	0.06399779685241214
1104	3	0.36455400910210045
1104	4	0.08246558929391057
1104	5	0.06442409398303539
1104	6	0.2036605687155557
1104	7	0.1444441101833931
1104	8	0.10325339406753642
1104	9	0.23000245226872806
1104	10-14	0.12258012578250543
1104	15-19	0.18400776064946456
1104	20-24	0.04656990403908878
1104	25-29	0.06777289900988848
1104	30-34	0.13089379595168538
1104	35-39	0.08719687294084366
1104	40-44	0.09742139288584895
1104	45-49	0.06873926857514334
1104	50-54	-0.07415087623237326
1104	55-59	-0.05843602228682698
1104	60-64	0.08330567476509998
1104	65-69	-0.059365206304903495
1104	70-74	0.0412023230326497
1104	75-79	-0.14051239334776966
1104	80-84	0.05895905117959188
1104	85-89	0.09557553009197761
1104	90-94	0.13679568209172288
1104	95-99	0.24331824495263277
1104	100-104	0.202514151534551
1104	105-109	0.24530996414357986
1104	110-114	0.3149580167695092
1104	115-119	0.31698081366958064
1104	120-124	0.40519692745101565
1104	125-129	0.5229257460518895
1104	130-134	0.5344071756620892
1104	135-139	0.577703015522097
1104	140-144	0.5953189002743855
1104	145-149	0.5473400388283878
1104	150	0.6073186080003765
1105	1	0.13455272336875979
1105	2	-0.17744038387884586
1105	3	0.14966156992861102
1105	4	0.06490034793187505
1105	5	0.06708841772437779
1105	6	0.17102881228264266
1105	7	0.02685026336857277
1105	8	0.14617458242394576
1105	9	-0.11119326196543966
1105	10-14	0.010833015411279234
1105	15-19	0.004280154983348439
1105	20-24	0.05458436932402577
1105	25-29	0.07551124027656897
1105	30-34	0.19198375352196706
1105	35-39	0.16933598336692057
1105	40-44	0.1408903531696879
1105	45-49	0.1126533800667886
1105	50-54	0.009307637018089565
1105	55-59	0.09816910721148275
1105	60-64	0.15432974777710484
1105	65-69	0.1827182061745205
1105	70-74	0.2532707905325182
1105	75-79	0.37721456123379227
1105	80-84	0.361522863033386
