##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fnotti_USPD16092508-N705-AK390_HV3JCCCXY_L7_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	104172552
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.217499989824574	32.0	32.0	32.0	27.0	32.0
2	30.370058698379587	32.0	32.0	32.0	27.0	32.0
3	33.70274066051488	37.0	32.0	37.0	27.0	37.0
4	34.391467571995356	37.0	37.0	37.0	27.0	37.0
5	34.80546400552806	37.0	37.0	37.0	32.0	37.0
6	38.12000340550359	41.0	37.0	41.0	32.0	41.0
7	38.26202041205634	41.0	41.0	41.0	32.0	41.0
8	38.392026058841296	41.0	41.0	41.0	32.0	41.0
9	38.382042392510456	41.0	41.0	41.0	32.0	41.0
10-14	38.290427336367834	41.0	41.0	41.0	32.0	41.0
15-19	38.18451096599803	41.0	41.0	41.0	32.0	41.0
20-24	38.08596425092859	41.0	41.0	41.0	31.0	41.0
25-29	37.94058215642063	41.0	41.0	41.0	27.0	41.0
30-34	37.865780650165895	41.0	41.0	41.0	27.0	41.0
35-39	37.73168149898065	41.0	37.0	41.0	27.0	41.0
40-44	37.66954752342057	41.0	37.0	41.0	27.0	41.0
45-49	37.58015427326769	41.0	37.0	41.0	27.0	41.0
50-54	37.534830021251665	41.0	37.0	41.0	27.0	41.0
55-59	37.39948255275535	41.0	37.0	41.0	27.0	41.0
60-64	37.28371949071575	41.0	37.0	41.0	27.0	41.0
65-69	37.18660123445953	41.0	37.0	41.0	27.0	41.0
70-74	37.04954490699239	41.0	37.0	41.0	26.0	41.0
75-79	36.522472445524805	41.0	36.0	41.0	22.0	41.0
80-84	36.88393217053952	41.0	37.0	41.0	22.0	41.0
85-89	36.81545513063748	41.0	37.0	41.0	22.0	41.0
90-94	36.74016165409867	41.0	37.0	41.0	22.0	41.0
95-99	36.567513208277745	41.0	37.0	41.0	22.0	41.0
100-104	36.51663114675351	41.0	37.0	41.0	22.0	41.0
105-109	36.36513512695744	41.0	37.0	41.0	22.0	41.0
110-114	36.14031589242433	41.0	37.0	41.0	22.0	41.0
115-119	35.96542883388322	41.0	37.0	41.0	22.0	41.0
120-124	35.79658832971664	41.0	37.0	41.0	22.0	41.0
125-129	35.465216639792025	41.0	34.0	41.0	20.0	41.0
130-134	35.10096531378055	41.0	32.0	41.0	12.0	41.0
135-139	34.75854660832347	41.0	32.0	41.0	12.0	41.0
140-144	34.42449760470494	41.0	32.0	41.0	12.0	41.0
145-149	34.049717987133505	41.0	32.0	41.0	12.0	41.0
150	33.832438779074934	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.24688386123899164
1101	2	0.06828821667234308
1101	3	-0.7209291800209101
1101	4	-0.5019153867158792
1101	5	0.2814918458797777
1101	6	-0.21477435359224728
1101	7	-0.7522679088616613
1101	8	-0.7576729676505352
1101	9	-2.2494236676776183
1101	10-14	-0.708743319383295
1101	15-19	-1.3032589381582724
1101	20-24	-1.7770789887135336
1101	25-29	-1.478217675090903
1101	30-34	-1.3700582091303275
1101	35-39	-0.8754945410872708
1101	40-44	-1.2269845600758842
1101	45-49	-0.6466920769265982
1101	50-54	-0.8403979424188819
1101	55-59	-0.6460857992813018
1101	60-64	-0.7328517970861128
1101	65-69	-0.6333934059309669
1101	70-74	-0.25079551431080205
1101	75-79	-0.14046462891705147
1101	80-84	-0.09128130856849026
1101	85-89	0.3616960181505746
1101	90-94	0.23412620422783448
1101	95-99	-0.48416049476364265
1101	100-104	0.09087423325059518
1101	105-109	-0.12855380376968384
1101	110-114	0.3060019748688205
1101	115-119	-0.5739276017148498
1101	120-124	-0.6806409797052169
1101	125-129	-0.3257000935887504
1101	130-134	0.0894356727995671
1101	135-139	-0.34330772534383414
1101	140-144	0.14652470444644905
1101	145-149	0.2791839840554644
1101	150	0.5361232218642513
1102	1	0.8858898102603838
1102	2	0.6120422213152743
1102	3	0.7521059178777421
1102	4	0.8032637075447795
1102	5	0.6980907876924789
1102	6	0.6958755145841025
1102	7	0.9224746825072643
1102	8	0.7458304991091254
1102	9	0.773846721194964
1102	10-14	0.7495895008487281
1102	15-19	0.7806275987258928
1102	20-24	0.6263922846631473
1102	25-29	0.6705644192350704
1102	30-34	0.6153378292190226
1102	35-39	0.27307386099991504
1102	40-44	0.34699262559955457
1102	45-49	-0.14285721074953273
1102	50-54	-0.03672983504769434
1102	55-59	0.22978661060922434
1102	60-64	0.6850191010032418
1102	65-69	0.7150815341345265
1102	70-74	0.6833785239700418
1102	75-79	0.5441794660711494
1102	80-84	0.37917873892969567
1102	85-89	0.8102316983975655
1102	90-94	0.6399922721723996
1102	95-99	0.9617130338477935
1102	100-104	1.1535323042774976
1102	105-109	1.2663468627044523
1102	110-114	1.2147673499577465
1102	115-119	0.7483570614530706
1102	120-124	0.9239207968153238
1102	125-129	0.8990784730786174
1102	130-134	1.2266270895793028
1102	135-139	1.4280287789931094
1102	140-144	1.1526010218460243
1102	145-149	1.1767275336965213
1102	150	1.0533044224174617
1103	1	0.7414969847972301
1103	2	0.8209085826146456
1103	3	1.059684107899038
1103	4	1.0820551011293134
1103	5	0.861699009957789
1103	6	0.9890677331772721
1103	7	0.909183451373444
1103	8	1.019112763045058
1103	9	0.8736702208600562
1103	10-14	0.6926505681903876
1103	15-19	0.9503701449428164
1103	20-24	0.997785436422113
1103	25-29	0.8310502100795318
1103	30-34	0.8914466200454783
1103	35-39	1.0396321808340545
1103	40-44	1.1414004901995014
